date,spx_usd,gold_usd,usdcad,spx_cad,gold_cad
2021-08-01,4454.21,1785.00,1.26,5611.85,2248.92
2021-09-01,4445.54,1775.00,1.27,5632.95,2249.10
2021-10-01,4460.71,1777.00,1.24,5546.44,2209.52
2021-11-01,4667.39,1822.00,1.26,5865.50,2289.71
2021-12-01,4674.77,1790.00,1.28,5983.71,2291.20
2022-01-01,4573.82,1816.00,1.26,5773.07,2292.16
2022-02-01,4435.98,1856.00,1.27,5638.57,2359.16
2022-03-01,4391.27,1948.00,1.27,5559.34,2466.17
2022-04-01,4391.30,1937.00,1.26,5545.33,2446.04
2022-05-01,4040.36,1849.00,1.29,5195.50,2377.63
2022-06-01,3898.95,1837.00,1.28,4992.21,2352.09
2022-07-01,3911.73,1733.00,1.29,5060.21,2241.81
2022-08-01,4158.56,1765.00,1.29,5371.62,2279.85
2022-09-01,3850.52,1680.78,1.33,5136.21,2241.99
2022-10-01,3726.05,1664.00,1.37,5100.59,2277.85
2022-11-01,3917.49,1725.00,1.35,5271.76,2321.33
2022-12-01,3912.38,1798.00,1.36,5314.97,2442.58
2023-01-01,3960.66,1898.00,1.34,5315.99,2547.50
2023-02-01,4079.68,1855.00,1.35,5488.81,2495.72
2023-03-01,3968.56,1913.00,1.37,5430.18,2617.56
2023-04-01,4121.47,2000.00,1.35,5557.39,2696.80
2023-05-01,4146.17,1992.00,1.35,5604.38,2692.59
2023-06-01,4345.37,1943.00,1.33,5773.26,2581.47
2023-07-01,4508.08,1951.00,1.32,5955.62,2577.47
2023-08-01,4457.36,1919.00,1.35,6007.63,2586.43
2023-09-01,4515.77,1916.00,1.35,6110.29,2592.54
2023-10-01,4269.40,1916.00,1.37,5854.20,2627.22
2023-11-01,4460.06,1984.00,1.37,6113.40,2719.47
2023-12-01,4685.05,2026.00,1.34,6285.46,2718.08
2024-01-01,4804.49,2034.00,1.34,6449.07,2730.24
2024-02-01,5011.96,2023.00,1.35,6766.15,2731.05
2024-03-01,5170.57,2158.00,1.35,6998.88,2921.07
2024-04-01,5112.49,2331.00,1.37,6990.82,3187.41
2024-05-01,5235.23,2351.00,1.37,7154.99,3213.11
2024-06-01,5415.14,2326.00,1.37,7421.45,3187.78
2024-07-01,5538.00,2398.00,1.37,7594.81,3288.62
2024-08-01,5478.21,2470.00,1.37,7480.50,3372.78
2024-09-01,5621.26,2571.00,1.35,7614.56,3482.68
2024-10-01,5792.32,2690.00,1.38,7968.49,3700.63
2024-11-01,5929.92,2651.00,1.40,8285.88,3704.24
2024-12-01,6010.91,2648.00,1.42,8563.74,3772.61
2025-01-01,5979.52,2710.00,1.44,8603.93,3899.42
2025-02-01,6038.69,2895.00,1.43,8634.72,4139.56
2025-03-01,5683.98,2983.00,1.44,8159.92,4282.39
2025-04-01,5369.50,3218.00,1.40,7507.10,4499.09
2025-05-01,5810.92,3309.00,1.39,8058.00,4588.59
2025-06-01,6029.95,3353.00,1.37,8241.74,4582.88
2025-07-01,6296.50,3340.00,1.37,8620.54,4572.79
2025-08-01,6408.95,3368.00,1.38,8842.43,4646.83
2025-09-01,6584.02,3667.68,1.38,9108.33,5073.87
2025-10-01,6735.69,4058.33,1.40,9421.88,5676.79
2025-11-01,6740.89,4087.00,1.41,9474.99,5744.69
2025-12-01,6853.03,4309.00,1.38,9453.75,5944.27
2026-01-01,6929.12,4753.00,1.38,9542.09,6545.36
2026-02-01,6893.81,5020.00,1.36,9408.67,6851.30
2026-03-01,6654.42,4856.00,1.37,9129.86,6662.43
2026-04-01,6957.01,4721.00,1.38,9568.67,6493.26
2026-05-01,7412.55,4587.00,1.37,10167.79,6291.99
2026-06-01,7450.03,4228.00,1.40,10455.37,5933.58
2026-07-01,7481.34,4073.00,1.41,10552.43,5744.97
2026-08-01,7674.37,4600.00,1.39,10645.89,6381.12
